eventname,eventcategory,eventdescription,eventdate,eventstatus
ProductView,Transactional,Description for event 472,2025-03-18,Active
AddToCart,Social,Description for event 473,2025-03-18,Archived
Logout,Transactional,Description for event 474,2025-03-18,Active
Login,Transactional,Description for event 476,2025-03-18,Active
ProductView,Social,Description for event 479,2025-03-18,Archived
AddToCart,Transactional,Description for event 480,2025-03-18,Active
Logout,Social,Description for event 481,2025-03-18,Archived
Checkout,Transactional,Description for event 484,2025-03-18,Active
Signup,Social,Description for event 485,2025-03-18,Archived
AddToCart,Social,Description for event 487,2025-03-18,Archived
Logout,Transactional,Description for event 488,2025-03-18,Active
Subscription,Social,Description for event 489,2025-03-18,Archived
ProductView,Social,Description for event 493,2025-03-18,Archived
Login,Social,Description for event 497,2025-03-18,Archived
AddToCart,Social,Description for event 501,2025-03-18,Archived
Subscription,Social,Description for event 503,2025-03-18,Archived
Login,Transactional,Description for event 504,2025-03-18,Active
Signup,Transactional,Description for event 506,2025-03-18,Active
AddToCart,Transactional,Description for event 508,2025-03-18,Active
Logout,Social,Description for event 509,2025-03-18,Archived
Checkout,Transactional,Description for event 512,2025-03-18,Active
Signup,Social,Description for event 513,2025-03-18,Archived
ProductView,Transactional,Description for event 514,2025-03-18,Active
AddToCart,Social,Description for event 515,2025-03-18,Archived
Subscription,Social,Description for event 517,2025-03-18,Archived
Login,Transactional,Description for event 518,2025-03-18,Active
Checkout,Social,Description for event 519,2025-03-18,Archived
ProductView,Social,Description for event 521,2025-03-18,Archived
Logout,Social,Description for event 523,2025-03-18,Archived
Login,Social,Description for event 525,2025-03-18,Archived
Checkout,Transactional,Description for event 526,2025-03-18,Active
Signup,Social,Description for event 527,2025-03-18,Archived
Logout,Transactional,Description for event 530,2025-03-18,Active
Subscription,Social,Description for event 531,2025-03-18,Archived
Login,Transactional,Description for event 532,2025-03-18,Active
Login,Social,Description for event 539,2025-03-18,Archived
Checkout,Transactional,Description for event 540,2025-03-18,Active
Signup,Social,Description for event 541,2025-03-18,Archived
ProductView,Transactional,Description for event 542,2025-03-18,Active
AddToCart,Social,Description for event 543,2025-03-18,Archived
Logout,Transactional,Description for event 544,2025-03-18,Active
Signup,Transactional,Description for event 156,2025-03-18,Active
ProductView,Social,Description for event 157,2025-03-18,Archived
Subscription,Transactional,Description for event 160,2025-03-18,Active
Checkout,Transactional,Description for event 162,2025-03-18,Active
ProductView,Transactional,Description for event 164,2025-03-18,Active
AddToCart,Social,Description for event 165,2025-03-18,Archived
Login,Transactional,Description for event 168,2025-03-18,Active
AddToCart,Transactional,Description for event 172,2025-03-18,Active
Subscription,Transactional,Description for event 174,2025-03-18,Active
ProductView,Transactional,Description for event 178,2025-03-18,Active
Logout,Transactional,Description for event 180,2025-03-18,Active
Checkout,Social,Description for event 183,2025-03-18,Archived
AddToCart,Transactional,Description for event 186,2025-03-18,Active
Subscription,Transactional,Description for event 188,2025-03-18,Active
Subscription,Social,Description for event 195,2025-03-18,Archived
Login,Transactional,Description for event 196,2025-03-18,Active
Checkout,Social,Description for event 197,2025-03-18,Archived
Signup,Transactional,Description for event 198,2025-03-18,Active
Logout,Social,Description for event 201,2025-03-18,Archived
Subscription,Transactional,Description for event 202,2025-03-18,Active
Signup,Social,Description for event 205,2025-03-18,Archived
AddToCart,Social,Description for event 207,2025-03-18,Archived
Logout,Transactional,Description for event 208,2025-03-18,Active
Subscription,Social,Description for event 209,2025-03-18,Archived
Login,Transactional,Description for event 210,2025-03-18,Active
Signup,Transactional,Description for event 212,2025-03-18,Active
ProductView,Social,Description for event 213,2025-03-18,Archived
Login,Social,Description for event 217,2025-03-18,Archived
Checkout,Transactional,Description for event 218,2025-03-18,Active
Signup,Social,Description for event 219,2025-03-18,Archived
ProductView,Transactional,Description for event 220,2025-03-18,Active
Subscription,Social,Description for event 223,2025-03-18,Archived
Checkout,Social,Description for event 225,2025-03-18,Archived
Signup,Transactional,Description for event 226,2025-03-18,Active
Signup,Social,Description for event 233,2025-03-18,Archived
Subscription,Social,Description for event 237,2025-03-18,Archived
Login,Transactional,Description for event 238,2025-03-18,Active
Checkout,Social,Description for event 239,2025-03-18,Archived
AddToCart,Transactional,Description for event 242,2025-03-18,Active
Subscription,Transactional,Description for event 244,2025-03-18,Active
Checkout,Social,Description for event 253,2025-03-18,Archived
Subscription,Transactional,Description for event 258,2025-03-18,Active
Signup,Social,Description for event 261,2025-03-18,Archived
AddToCart,Social,Description for event 263,2025-03-18,Archived
Subscription,Social,Description for event 265,2025-03-18,Archived
Logout,Social,Description for event 271,2025-03-18,Archived
Subscription,Transactional,Description for event 272,2025-03-18,Active
ProductView,Transactional,Description for event 276,2025-03-18,Active
AddToCart,Social,Description for event 277,2025-03-18,Archived
Subscription,Social,Description for event 279,2025-03-18,Archived
Checkout,Social,Description for event 281,2025-03-18,Archived
ProductView,Social,Description for event 283,2025-03-18,Archived
AddToCart,Transactional,Description for event 284,2025-03-18,Active
Logout,Social,Description for event 285,2025-03-18,Archived
Subscription,Transactional,Description for event 286,2025-03-18,Active
Signup,Social,Description for event 289,2025-03-18,Archived
ProductView,Transactional,Description for event 290,2025-03-18,Active
AddToCart,Social,Description for event 291,2025-03-18,Archived
Login,Transactional,Description for event 294,2025-03-18,Active
Signup,Transactional,Description for event 296,2025-03-18,Active
AddToCart,Transactional,Description for event 298,2025-03-18,Active
Logout,Social,Description for event 299,2025-03-18,Archived
ProductView,Transactional,Description for event 304,2025-03-18,Active
Logout,Transactional,Description for event 306,2025-03-18,Active
Login,Transactional,Description for event 308,2025-03-18,Active
ProductView,Social,Description for event 311,2025-03-18,Archived
Logout,Social,Description for event 313,2025-03-18,Archived
ProductView,Transactional,Description for event 318,2025-03-18,Active
AddToCart,Social,Description for event 319,2025-03-18,Archived
Subscription,Social,Description for event 321,2025-03-18,Archived
Logout,Social,Description for event 327,2025-03-18,Archived
Subscription,Transactional,Description for event 328,2025-03-18,Active
Login,Social,Description for event 329,2025-03-18,Archived
Checkout,Transactional,Description for event 330,2025-03-18,Active
Signup,Social,Description for event 331,2025-03-18,Archived
ProductView,Transactional,Description for event 332,2025-03-18,Active
Logout,Transactional,Description for event 334,2025-03-18,Active
Login,Transactional,Description for event 336,2025-03-18,Active
Checkout,Social,Description for event 337,2025-03-18,Archived
Login,Social,Description for event 343,2025-03-18,Archived
Signup,Social,Description for event 345,2025-03-18,Archived
AddToCart,Social,Description for event 347,2025-03-18,Archived
Subscription,Social,Description for event 349,2025-03-18,Archived
Login,Transactional,Description for event 350,2025-03-18,Active
Signup,Transactional,Description for event 352,2025-03-18,Active
AddToCart,Transactional,Description for event 354,2025-03-18,Active
Subscription,Transactional,Description for event 356,2025-03-18,Active
Checkout,Transactional,Description for event 358,2025-03-18,Active
Signup,Social,Description for event 359,2025-03-18,Archived
ProductView,Transactional,Description for event 360,2025-03-18,Active
AddToCart,Social,Description for event 361,2025-03-18,Archived
Logout,Transactional,Description for event 362,2025-03-18,Active
Login,Transactional,Description for event 364,2025-03-18,Active
Checkout,Social,Description for event 365,2025-03-18,Archived
Signup,Transactional,Description for event 366,2025-03-18,Active
Logout,Social,Description for event 369,2025-03-18,Archived
Logout,Transactional,Description for event 376,2025-03-18,Active
Subscription,Social,Description for event 377,2025-03-18,Archived
Checkout,Social,Description for event 379,2025-03-18,Archived
Signup,Transactional,Description for event 380,2025-03-18,Active
ProductView,Social,Description for event 381,2025-03-18,Archived
Logout,Social,Description for event 383,2025-03-18,Archived
Login,Social,Description for event 385,2025-03-18,Archived
ProductView,Transactional,Description for event 388,2025-03-18,Active
Signup,Transactional,Description for event 394,2025-03-18,Active
ProductView,Social,Description for event 395,2025-03-18,Archived
AddToCart,Transactional,Description for event 396,2025-03-18,Active
Subscription,Transactional,Description for event 398,2025-03-18,Active
Login,Social,Description for event 399,2025-03-18,Archived
Signup,Social,Description for event 401,2025-03-18,Archived
ProductView,Transactional,Description for event 402,2025-03-18,Active
Subscription,Social,Description for event 405,2025-03-18,Archived
Login,Transactional,Description for event 406,2025-03-18,Active
Signup,Transactional,Description for event 408,2025-03-18,Active
ProductView,Social,Description for event 409,2025-03-18,Archived
AddToCart,Transactional,Description for event 410,2025-03-18,Active
Signup,Social,Description for event 415,2025-03-18,Archived
AddToCart,Social,Description for event 417,2025-03-18,Archived
Logout,Transactional,Description for event 418,2025-03-18,Active
Subscription,Social,Description for event 419,2025-03-18,Archived
Login,Transactional,Description for event 420,2025-03-18,Active
Signup,Transactional,Description for event 422,2025-03-18,Active
Logout,Social,Description for event 425,2025-03-18,Archived
Subscription,Transactional,Description for event 426,2025-03-18,Active
Checkout,Transactional,Description for event 428,2025-03-18,Active
Signup,Social,Description for event 429,2025-03-18,Archived
AddToCart,Social,Description for event 431,2025-03-18,Archived
Login,Transactional,Description for event 434,2025-03-18,Active
Checkout,Social,Description for event 435,2025-03-18,Archived
Signup,Transactional,Description for event 436,2025-03-18,Active
Logout,Social,Description for event 439,2025-03-18,Archived
Login,Social,Description for event 441,2025-03-18,Archived
Checkout,Transactional,Description for event 442,2025-03-18,Active
Signup,Social,Description for event 443,2025-03-18,Archived
Logout,Transactional,Description for event 446,2025-03-18,Active
Login,Transactional,Description for event 448,2025-03-18,Active
Checkout,Social,Description for event 449,2025-03-18,Archived
Signup,Transactional,Description for event 450,2025-03-18,Active
ProductView,Social,Description for event 451,2025-03-18,Archived
AddToCart,Transactional,Description for event 452,2025-03-18,Active
Subscription,Transactional,Description for event 454,2025-03-18,Active
Checkout,Transactional,Description for event 456,2025-03-18,Active
AddToCart,Social,Description for event 459,2025-03-18,Archived
Logout,Transactional,Description for event 460,2025-03-18,Active
Signup,Transactional,Description for event 464,2025-03-18,Active
ProductView,Social,Description for event 465,2025-03-18,Archived
AddToCart,Transactional,Description for event 466,2025-03-18,Active
Logout,Social,Description for event 467,2025-03-18,Archived
Login,Social,Description for event 469,2025-03-18,Archived
Checkout,Transactional,Description for event 470,2025-03-18,Active
Signup,Social,Description for event 471,2025-03-18,Archived
Subscription,Social,Description for event 475,2025-03-18,Archived
Checkout,Social,Description for event 477,2025-03-18,Archived
